sub_id,str_diff,comp_diff,soc_diff,door_diff
1242,[1.60965097  2.188223362  1.816367984  2.464004517  2.301902294  3.04995203  2.551114559  1.814167142  2.638324022  2.160314322  2.263262749  2.22896409  2.679734707  3.426654816  2.753236532  2.017109871  ],[1.560699463  2.189715147  1.65779984  1.113394499  1.384702206  2.609458923  1.860184193  1.671384335  2.073726177  1.469495535  1.756800532  2.077918768  2.376509428  2.217446566  1.750215769  2.214481831  ],[-0.006541647017  0.6143904328  0.5178080201  -0.3223229349  1.011860609  0.6897090077  0.1825530827  -0.8333819509  0.7283965349  0.06809242815  -0.3323954642  0.484590292  0.5105419159  -0.1491069943  -0.08828786761  -0.03982212022  ],[-0.5817292333  0.5767714977  0.3280785978  -0.1820183098  0.7174485922  1.593930125  -0.1697360724  -1.191759467  1.686364293  0.7707690597  0.1145879701  0.8828654289  0.2765102088  -0.1733098626  0.3815909326  0.5223212838  ]
1243,[-2.46091032  -1.891752362  -2.372061968  -2.810551405  -1.851870537  -0.7615531683  -1.670850635  -0.9899181724  -0.9160295129  -1.534845114  -1.928068995  -1.011299968  -2.124149084  -0.9335224032  -1.592820525  -1.208706498  ],[-1.987758398  -1.742275476  -1.934651494  -1.292250276  -1.81072104  -0.864163816  -2.043725729  -1.477253795  -1.920888543  -2.200903654  -1.654866219  -1.765086293  -1.00381875  -0.7447832227  -1.762560606  -2.230146646  ],[-1.578706145  0.6311986446  -0.2525655329  -1.505178452  0.5712279677  0.2499576658  -2.116359234  -4.300320148  0.5154989362  -1.498604774  -2.647369862  -0.1270688325  -0.792738378  -2.146469593  -0.6926731467  -2.162175894  ],[-0.05757802725  0.4289786518  -0.670853734  -1.688527942  -0.4710260928  0.3597848713  -0.969209671  -1.720586419  -0.712538898  -1.853398561  -2.028962135  -1.11307466  -0.3555182815  -0.6947725415  -0.3373101354  -0.7107692361  ]
1244,[-0.768791616  0.2220503241  -0.8535218835  -1.600706339  -0.5455222726  -0.6380208731  -0.9087797999  -1.358234167  -0.3917097747  -1.006341815  -1.975275278  -0.53263551  -1.700376034  -0.1117467582  -0.2395365536  -1.0524019  ],[1.254002929  1.244562984  1.412273765  1.769849777  0.5484600663  -0.6993342042  -0.4608071446  0.4265591502  -0.04758411273  -0.27449736  0.1087240204  -0.3613853455  -0.4948329329  -0.2966511548  0.1424268931  -0.0297913868  ],[0.8077825308  -0.2229187489  -0.1907402277  -0.8524557948  -0.4532482922  1.035561919  1.954994321  1.236405134  0.6768737435  1.090325952  0.5731149316  0.5489049554  0.8573688269  0.9982258081  1.059835434  0.7833948135  ],[-0.4904319048  0.471904248  0.1625713706  0.2046590298  0.73159796  0.2275974303  0.2770655751  0.1706489027  0.5458296537  0.9755393267  1.425687551  1.611855268  2.280406237  0.9476640821  1.797368884  1.676182032  ]
1248,[-0.09907389432  -0.6633139253  -0.08282401413  0.3864552975  -0.1669720709  0.4808919728  0.2457830608  0.5800366402  0.4943058789  0.7665497065  1.376609564  0.8727254272  1.984629393  1.173520923  1.750042081  2.609878063  ],[-3.078015804  -1.635381341  -2.383860826  -1.922192693  -2.042700052  -2.95759511  -3.093781233  -2.101856232  -2.26837635  -2.302476645  -0.8748444915  -1.622174621  -1.059825301  -1.663372517  -1.064421535  -0.5513245463  ],[1.51236999  2.40472579  2.482379436  1.257641792  1.944611549  1.849106789  1.694880128  1.833824515  2.103783846  1.753570676  0.76970011  0.4428584278  0.5597066283  1.062353373  1.403167844  1.491617203  ],[1.682848454  1.927897096  0.8899659514  0.6530442238  0.8525193334  1.62299335  1.676971674  1.36845994  1.604807019  1.076254606  1.01388216  0.907664299  1.145717859  2.492365837  2.38246727  2.220159531  ]
1249,[0.1797419488  0.365180105  0.07842684537  -0.04709462821  0.7907475233  1.273335218  0.5612389445  -0.283834517  1.260897756  1.124940515  0.5108632445  1.147047162  0.7836356759  0.3204292655  0.7711020112  0.2115922868  ],[-1.20034647  0.1467435807  -1.376320601  -1.694829106  -0.8843092918  0.3246503472  -0.5151429176  -1.293141842  0.08798853308  -0.7589148283  -1.432049513  -0.5197669864  -0.640861392  -0.6309193969  -1.002536178  -1.130113006  ],[1.346595645  1.905190825  0.9053525925  0.805750072  0.5198412538  0.3089203238  -0.9327263236  -0.1569271833  -0.05183603615  -0.7991380095  -0.5499774218  0.2938400209  -0.3178374171  -2.228198528  -1.545596957  -1.323379278  ],[3.387065649  3.551312447  3.448637962  2.640744686  2.07685113  1.84265542  2.63960433  2.652442217  2.618565321  2.317801476  2.135072708  2.067281008  1.568326473  0.07573439181  0.7637677789  1.495163321  ]
1251,[2.04581666  1.637560606  2.101108313  1.807014942  2.194980383  1.938064694  2.245754957  1.816634059  1.341120958  1.872696877  1.64253068  1.584338427  1.412203312  2.60721755  2.264812946  2.34103179  ],[1.030718207  1.87343204  1.552773118  1.807930708  1.847113013  0.7339038849  0.1848284602  0.3948109448  1.298750043  1.114900589  1.572177529  1.728191853  1.949185848  -0.1273648441  1.105331898  0.8691916466  ],[1.193063736  1.576652169  1.734503269  1.788254023  1.708923817  1.512393117  1.465231895  2.061262846  1.844408631  2.226852894  2.082737684  2.049726009  1.688894272  0.601993382  0.7058920264  0.1148621961  ],[1.55609405  1.31000042  1.188957095  0.4822103381  1.352673054  2.191177368  1.949441195  1.035485744  1.942132115  1.710965395  0.7908112407  1.951680422  0.9617081881  2.436077833  2.239781141  1.836642385  ]
1255,[1.147788763  0.5494895577  1.184306383  1.825990796  1.521820307  1.723719716  1.578704715  0.9082173705  0.1122112945  0.3943138719  0.8279135823  0.1261390597  0.8798316121  0.7312154174  0.09072504938  -0.1229243129  ],[0.1790837049  -0.03588797525  0.08183439821  0.757047534  0.08162839711  0.4742171466  0.6942056417  0.9520542026  0.1230566204  0.4155878723  0.6867290139  0.3952596784  1.151604295  0.8499327302  0.6314080954  1.149426937  ],[-0.1030541137  1.191710591  0.5066890717  -0.3229698539  0.9627990127  0.7102457881  0.3826200664  -0.221755892  2.071284771  1.199277997  -1.116575837  0.7168238759  -1.408870816  -0.3777655363  0.03127970174  -0.8704664111  ],[0.588128984  0.3246182203  0.7013815045  0.7850261331  0.4951329529  0.6649599075  0.8049719334  0.5573348403  0.7995359302  1.002880096  0.9800594449  0.9082453847  1.454007506  0.968051672  1.072213411  0.7690398693  ]
1276,[-1.530631661  -2.50230813  -1.425515413  -0.1039824188  -2.171361923  -1.6393013  -0.811162591  -0.1966662556  -1.967902899  -1.355264902  -0.4217996299  -1.576454282  -0.8235254288  -1.118259907  -1.568818688  -0.9498808384  ],[0.4402033389  0.1746059656  0.5751346946  0.5259250998  0.1143170968  1.199296594  1.308208704  0.8954662085  1.086966395  1.021609306  0.6196495891  0.7430279255  0.2434263676  1.703493953  1.26990366  0.7248203754  ],[1.000716567  -0.0555511117  0.4389238656  0.2495756894  -0.1488478631  -0.6882523894  -0.6703488827  -0.2871801853  -0.9518123269  -0.8159649968  -0.4042146802  -1.06383431  -0.4236720502  -0.9751878381  -1.145039678  -1.011410594  ],[-0.7468239665  -0.04314288124  -0.06879546493  -0.6970188022  -0.3506368697  -1.59835732  -1.414187431  -1.490178943  -0.5955268145  -0.8251883984  -1.224873781  -0.6896425486  -0.4067470729  -1.765913367  -1.228375673  -0.9733368754  ]
1286,[-1.062313557  -1.516141176  -1.49420929  -1.045544505  -0.3891786933  -1.41176939  -1.243810415  -0.9645529985  -1.557354689  -1.324138522  -1.277015567  -0.4943529069  -0.4313500822  -0.946410358  -1.051911354  -1.137129307  ],[-1.167348504  -0.3329697251  -0.7020103931  -1.041598916  -0.5427697301  -0.1416095048  -0.8658198118  -1.456149936  -0.6491468549  -1.41489327  -1.911786318  -1.22946918  -1.258448958  -0.6646858454  -1.284705877  -1.96032393  ],[1.081523657  0.4935338795  0.6275214553  1.945315957  1.552339554  2.932850361  1.442721605  0.9245105982  1.97493422  1.740134358  1.995182157  1.757287979  1.899637461  1.474915504  1.418720126  0.4453848302  ],[-1.249290466  -1.369253159  -1.051513195  -0.7325334549  0.004959048703  -0.7118478417  -0.7470541  -1.506052136  -1.212566972  -0.9056079388  -1.463959098  -0.3975091875  -0.9049681425  -0.448620975  -0.9443304539  -1.442302704  ]
1294,[-0.2948001027  1.263349891  0.5821768045  -0.212460503  0.05238710716  1.703880668  -0.01410260983  1.629560113  0.5041927099  0.2558268905  0.2160174549  0.490044713  -0.1166528016  0.2367908061  0.7429347634  0.7759788036  ],[0.2277016044  -1.033310413  -0.4691889286  0.6734119654  0.05204290152  -0.279884249  0.01712941192  0.2743550241  -0.626708746  -0.6018416882  0.4818826616  0.5005636215  1.042275548  -1.278593302  -0.6874822974  0.1181346551  ],[1.388050914  0.2220428586  1.474492311  2.138801098  0.8475695252  -0.223748073  0.6612792611  0.926445961  0.443937391  0.8808308244  1.938795567  1.076307535  1.259099483  1.560281157  1.088481069  1.816310406  ],[0.5940160155  0.02866322733  -0.3161461055  -0.87039572  -1.27871263  1.197965741  0.5961280465  0.2513921857  0.6122432947  0.8396620154  0.4646657407  0.24364537  -0.6088856459  -0.3461343646  1.133302927  1.210436821  ]
1301,[0.6684925556  0.1910517663  0.7173005939  1.221828699  0.8875148892  -0.9216054082  -0.534050107  0.4980203807  -0.7988490462  0.3721437752  1.12594831  0.893515408  0.944832325  -1.238767505  -0.4920319021  0.155479759  ],[0.8782780766  0.9960776567  -0.09853707999  -0.884037137  -0.2099378407  1.016830802  1.170799136  -0.3977420032  0.8759717345  -0.3841871023  -1.724433899  -0.1631883234  -1.5578022  0.4963716865  0.03528204188  -0.8561311364  ],[-1.941075444  -0.2619878054  -1.798793674  -2.061548233  -1.420675159  0.5647708774  -0.9836159348  -3.017023802  0.6154851317  -0.88212502  -1.197623968  -0.5100472569  -0.681365788  -1.177987218  -0.9012345672  0.03269186243  ],[0.2497782409  -1.651887774  -1.097518206  -0.4483360946  -1.492988706  -2.145033836  -1.91960609  0.6228188872  -2.966850281  -1.54927218  0.1239529848  -0.3317177594  0.07085755467  -2.725472212  -2.353255987  -0.5707904696  ]
1302,[1.224567175  -0.02579472959  0.9135097861  1.461833119  0.8554955125  0.9544348717  1.145516872  1.085187316  0.2126651108  0.674295485  0.9473448992  1.049092293  0.7513510585  0.7363158464  0.3463982642  0.217054978  ],[1.95044446  2.100344896  1.654488206  0.9332560301  1.25013423  1.498603344  2.487131596  2.088095665  1.654211521  1.741673827  1.14109683  1.070853353  0.3258443475  2.238511562  1.465734005  0.9636479616  ],[2.338089228  2.015331745  2.411437511  2.134248495  1.631793618  1.364676595  1.591129303  1.950694084  1.274806023  1.717558503  1.716939449  1.363602281  1.57060957  0.6045485139  1.010941744  1.350606084  ],[1.152937174  1.191919446  1.170153499  1.238818407  1.135470271  0.9501388669  1.471604109  1.531157732  1.02964735  1.327885866  1.534375072  0.9170634747  1.663967013  1.162387848  1.369296432  1.233211398  ]
1303,[2.006587982  1.142004251  0.8541038036  0.7394967675  0.480355829  1.483767986  1.773795843  0.7954149842  0.7602674365  0.8773193955  0.2844936848  0.6465702057  0.5443117619  2.308287382  1.708708405  0.5763364434  ],[0.119074814  -0.7406256199  -0.101447463  1.609443784  0.4421212971  -0.8522120714  0.2239183187  0.9156814218  -1.273241401  -0.4045933187  0.1661086529  -0.4887239635  0.2837881446  -0.1855581403  -0.5430635214  -0.6373771429  ],[0.5591884255  0.3105112314  0.943138063  1.356806755  -0.6746783853  -0.3805862367  0.6552720666  0.1849736571  -0.1617467999  0.4308961034  -0.1533878893  -0.5279644728  0.1028478742  2.183699846  1.447329998  0.9973574281  ],[-1.642377138  -0.9516342878  -1.300750136  -1.567250252  -0.5392901301  -2.106805563  -2.661871433  -2.992142677  -1.153108835  -2.148680925  -2.810833216  -0.9681688547  -1.888192773  -3.812833548  -3.087792397  -2.813764095  ]
3116,[2.852259636  2.481975555  3.004622698  3.255089283  3.375199795  2.528616905  2.551445961  2.832024813  3.345815659  3.124250889  2.96763587  3.447916985  2.835598946  1.011850476  1.503211141  0.03594291583  ],[3.483958721  1.833029985  2.421977043  2.415155411  1.869886875  3.592998743  3.271558762  2.986631632  2.039428473  2.638305187  2.768365622  2.282166243  2.684468031  3.495413542  3.291265488  2.854938269  ],[0.7916299105  0.4156214893  1.413099408  3.102130651  2.7083776  1.237356544  1.370886564  1.226709962  1.234600544  1.720790386  1.689038992  2.688300133  2.24853754  0.3723067641  1.429426074  0.5168534517  ],[0.7658826113  0.5169324279  0.797793746  0.7788007855  1.368441105  0.5970574021  0.09351300448  -0.8572415113  0.7622031569  -0.2679046988  -0.8062599301  0.9837394953  0.246185869  0.118345134  0.1671546698  -0.6464556456  ]
3122,[-1.983327389  -1.855478764  -1.879177809  -0.8454390168  -1.051171184  -2.682569981  -2.398159504  -0.9622393847  -2.068344355  -2.030145168  -1.15822494  -1.531506777  -1.009114981  -2.518281221  -2.220504761  -1.268267989  ],[-1.732010603  -1.925676346  -1.888861895  -0.9857863188  -1.754070878  -0.8554532528  -0.5373492837  0.4725991786  -0.705966413  -0.7598246932  -0.0923249796  -0.9270705581  -1.02363956  0.3529374599  0.05547304824  0.2456647009  ],[-1.237136722  0.9968782663  0.6311929822  0.01563278772  1.240302682  0.1403023303  0.2229277492  -0.894721806  1.172895193  1.031696439  -0.1206777617  1.334084034  1.039046168  0.9488896132  1.183109045  0.2095390111  ],[-0.8233689666  -0.03349492326  -0.6218612194  -0.8571366072  -0.1478503346  -0.3673992157  -0.8382732868  -1.330884695  -0.0428904146  -0.6565033197  -1.021434069  -0.2513782382  -0.8746338487  -0.915995121  -0.7405887246  -0.6590801477  ]
3125,[-1.726473808  0.3466186821  0.9180090427  1.778989315  1.931444407  -0.8166353106  0.2601709664  2.367335558  0.1390002072  0.6323700547  1.169386387  1.286665201  0.8679118752  1.09613204  0.9966144562  1.211027622  ],[0.9657250047  1.016446829  1.997477651  1.091382384  1.617045522  -0.3279953599  1.546475768  2.50081706  0.2042126656  1.662153721  2.498368025  1.537355781  2.743903875  0.8068276644  0.5423266888  1.279056787  ],[-0.2300917655  0.4345545173  0.1227189749  -0.4578178823  0.8350004554  -1.23406744  -1.261806965  -0.2925818264  -0.5495632887  -0.5346282125  0.7030761242  -0.06129150838  0.5578571558  -0.7177057266  -0.956535399  -0.5511577129  ],[-2.829826355  -2.35822773  -2.009149075  1.260134935  0.8621762395  -1.944470644  -1.378146291  0.03124349564  -2.889622688  -2.783395052  -1.24896729  -0.3577168882  -0.7035225034  0.5052890778  -0.086898081  -0.191108197  ]
3140,[-2.032227516  -1.639871478  -1.003365636  -1.06276834  -0.2701725364  -1.997934222  -1.053143859  -0.5027543306  -1.0369488  -0.3928078413  -0.3383663595  -0.08244241774  -0.01584334485  -0.1908329427  -0.3909675777  -0.2274398208  ],[4.229825974  3.545323133  3.14466691  2.382912636  3.129657984  4.600361824  4.312684536  3.727972507  4.284849644  3.831634045  2.771181822  3.489738464  2.428975105  4.017952442  4.958293915  3.864248753  ],[0.8132234812  1.010495305  1.040003061  0.8983618617  1.01236856  0.4961173534  0.1391231567  1.407066107  0.6362524629  0.8625219464  1.384993196  1.04631722  1.314902067  -0.2359802425  0.8090717196  1.96235466  ],[-0.3983586133  -0.1413067728  -0.2385459244  0.2616992593  0.01226524357  -0.6306949854  -0.9621940851  0.3180736601  0.1583297849  0.05004943535  0.5899814367  0.8584371209  0.9670718908  -1.170532465  -0.4459910095  0.3376450539  ]
3143,[-2.112690687  -1.823329568  -1.701872468  -0.1511674225  -1.002360702  -1.908337116  -1.648966908  -0.1147006676  -1.822300434  -1.189069033  0.2766174674  -0.9147589207  0.5837988257  -0.4134812653  -0.8419967294  0.9663823843  ],[-0.5651694536  -2.434159994  -2.796952724  -1.829805493  -3.652448416  -1.24281776  0.1670697629  1.513247967  -2.020439625  -0.8532714248  0.4655610621  -1.403005362  -0.6272680759  -0.790510118  -1.026235223  -0.2112514973  ],[-1.270016074  -0.8879380226  -1.115393758  -1.563082337  -0.863183558  -0.6101807952  -0.3173024058  0.7062856555  -0.8770939708  -0.1628795713  0.6246153712  -1.201249957  -0.2567309439  -0.4170903265  -0.7127198577  -0.3477563262  ],[-0.009500614367  -0.6086294651  -0.2201861143  1.516452551  0.005757434294  -0.164896071  0.2914126813  1.148405313  -0.7309212685  -0.0880760774  2.187680483  0.1365605295  3.399133444  0.5078453422  0.04744137451  0.8710182309  ]
3166,[-0.1377961189  -0.5070967078  0.1808470339  0.1993344575  0.1348349452  -0.4020148516  0.2018266916  -0.6349747181  -0.6330440044  0.1291867495  -0.006418131292  -0.06225466728  0.1397268027  0.1153857112  -0.1031897292  0.06040313467  ],[0.3528746367  0.2844494283  0.6433027983  0.6829183102  0.7481086254  0.8505609035  1.297927856  1.325790524  0.4727004468  1.105528593  1.042288065  0.6891057491  0.7001414299  1.019950986  0.9217611551  0.7849329114  ],[1.936477542  1.931053996  1.892004013  2.01173234  1.516764879  0.1899429709  0.1421609372  1.577719212  1.540823817  1.882338881  2.441927195  2.191348791  2.638612032  -0.5480338335  1.58116889  2.442754269  ],[2.191229582  2.587017298  2.384861231  1.814944625  2.345667839  -0.5891650915  -0.4389828742  1.845888615  1.544096708  1.785205245  2.005351067  2.072470427  2.02586484  -1.126921654  1.928453326  2.74797821  ]
3167,[1.689903021  2.352836609  2.499486446  2.095322847  2.527377844  1.686509013  0.9856081009  0.6488396525  1.31788516  1.370496988  1.202022552  2.024136066  2.222785473  0.2485402822  0.5880748034  -0.4358497262  ],[1.536181688  0.3749056756  1.249701977  1.642698288  1.170272827  0.9040648937  1.705486655  1.127286673  1.768715501  2.276415586  1.695459127  1.973916054  2.072720528  1.054773092  2.37789917  1.024746537  ],[1.134040117  0.1713424027  0.5496739149  1.169597864  0.2581877112  -0.1456031054  0.3227309287  0.8222614527  -0.3350445628  0.4208987951  1.478689909  0.03797875717  2.077116728  -0.9201291203  0.08348013461  0.1879582554  ],[1.899938345  0.2445923239  1.008273482  2.393362761  0.6078329682  1.282871246  1.397996306  1.936475039  1.694099307  1.831332088  2.054473877  2.350519657  1.845264912  -0.06355188042  0.9599389434  0.1066634506  ]
